Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8412_129,1,0.0979825,,,,,8412_129,S.8412.129.R1.match.sdr.cov.txt
8412_270,0,0.09831,,,,,8412_270,S.8412.27.R1.match.sdr.cov.txt
8412_421,2,0.09849,,,,,8412_421,S.8412.425.R1.match.sdr.cov.txt
8415_082,3,0.0988287,,,,,8415_082,S.8415.086.R1.match.sdr.cov.txt
8412_397,2,0.09909,,,,,8412_397,S.8412.401.R1.match.sdr.cov.txt
8415_227,2,0.0994162,,,,,8415_227,S.8415.231.R1.match.sdr.cov.txt
8415_147,2,0.0996537,,,,,8415_147,S.8415.151.R1.match.sdr.cov.txt
8412_179,0,0.1,,,,,8412_179,S.8412.179.R1.match.sdr.cov.txt
8415_206,2,0.10009,,,,,8415_206,S.8415.21.R1.match.sdr.cov.txt
8415_225,2,0.100264,,,,,8415_225,S.8415.229.R1.match.sdr.cov.txt
8412_410,1,0.100461,,,,,8412_41,S.8412.414.R1.match.sdr.cov.txt
8415_213,0,0.100816,,,,,8415_213,S.8415.217.R1.match.sdr.cov.txt
8412_386,2,0.101125,,,,,8412_386,S.8412.39.R1.match.sdr.cov.txt
8415_236,0,0.101165,,,,,8415_236,S.8415.24.R1.match.sdr.cov.txt
8415_073,0,0.10133,,,,,8415_073,S.8415.077.R1.match.sdr.cov.txt
8412_294,0,0.101421,,,,,8412_294,S.8412.294.R1.match.sdr.cov.txt
8415_283,0,0.101474,,,,,8415_283,S.8415.287.R1.match.sdr.cov.txt
8415_088,1,0.101797,,,,,8415_088,S.8415.092.R1.match.sdr.cov.txt
8415_023,2,0.102121,,,,,8415_023,S.8415.027.R1.match.sdr.cov.txt
8412_086,0,0.102597,,,,,8412_086,S.8412.086.R1.match.sdr.cov.txt
8412_287,0,0.102921,,,,,8412_287,S.8412.287.R1.match.sdr.cov.txt
8412_461,0,0.103112,,,,,8412_461,S.8412.465.R1.match.sdr.cov.txt
8412_296,0,0.103241,,,,,8412_296,S.8412.296.R1.match.sdr.cov.txt
8412_320,2,0.103494,,,,,8412_320,S.8412.324.R1.match.sdr.cov.txt
8415_018,0,0.103619,,,,,8415_018,S.8415.022.R1.match.sdr.cov.txt
8412_373,0,0.103992,,,,,8412_373,S.8412.377.R1.match.sdr.cov.txt
8412_275,2,0.104567,,,,,8412_275,S.8412.275.R1.match.sdr.cov.txt
8415_270,0,0.10481,,,,,8415_27,S.8415.274.R1.match.sdr.cov.txt
8415_392,1,0.104829,,,,,8415_392,S.8415.396.R1.match.sdr.cov.txt
8415_002,2,0.104842,,,,,8415_002,S.8415.006.R1.match.sdr.cov.txt
8412_402,3,0.105047,,,,,8412_402,S.8412.406.R1.match.sdr.cov.txt
8412_380,2,0.105104,,,,,8412_38,S.8412.384.R1.match.sdr.cov.txt
8415_058,1,0.105492,,,,,8415_058,S.8415.062.R1.match.sdr.cov.txt
8412_382,0,0.105704,,,,,8412_382,S.8412.386.R1.match.sdr.cov.txt
8412_154,0,0.105882,,,,,8412_154,S.8412.154.R1.match.sdr.cov.txt
8415_037,2,0.106157,,,,,8415_037,S.8415.041.R1.match.sdr.cov.txt
8415_077,2,0.10636,,,,,8415_077,S.8415.081.R1.match.sdr.cov.txt
8415_298,0,0.106399,,,,,8415_298,S.8415.302.R1.match.sdr.cov.txt
8412_377,1,0.106481,,,,,8412_377,S.8412.381.R1.match.sdr.cov.txt
8412_365,1,0.106787,,,,,8412_365,S.8412.369.R1.match.sdr.cov.txt
8415_085,4,0.106826,,,,,8415_085,S.8415.089.R1.match.sdr.cov.txt
8415_218,0,0.107044,,,,,8415_218,S.8415.222.R1.match.sdr.cov.txt
8415_248,2,0.10712,,,,,8415_248,S.8415.252.R1.match.sdr.cov.txt
8412_391,2,0.107122,,,,,8412_391,S.8412.395.R1.match.sdr.cov.txt
8412_149,0,0.10745,,,,,8412_149,S.8412.149.R1.match.sdr.cov.txt
8415_191,1,0.107501,,,,,8415_191,S.8415.195.R1.match.sdr.cov.txt
8412_328,2,0.107657,,,,,8412_328,S.8412.332.R1.match.sdr.cov.txt
8415_119,1,0.108029,,,,,8415_119,S.8415.123.R1.match.sdr.cov.txt
8415_370,0,0.108251,,,,,8415_37,S.8415.374.R1.match.sdr.cov.txt
8412_408,0,0.108449,,,,,8412_408,S.8412.412.R1.match.sdr.cov.txt
8415_334,4,0.108555,,,,,8415_334,S.8415.338.R1.match.sdr.cov.txt
8415_041,2,0.108565,,,,,8415_041,S.8415.045.R1.match.sdr.cov.txt
8415_421,0,0.108627,,,,,8415_421,S.8415.425.R1.match.sdr.cov.txt
8415_065,1,0.108877,,,,,8415_065,S.8415.069.R1.match.sdr.cov.txt
8415_130,0,0.109126,,,,,8415_13,S.8415.134.R1.match.sdr.cov.txt
8415_035,0,0.109137,,,,,8415_035,S.8415.039.R1.match.sdr.cov.txt
8412_170,0,0.109192,,,,,8412_170,S.8412.17.R1.match.sdr.cov.txt
8415_014,0,0.109536,,,,,8415_014,S.8415.018.R1.match.sdr.cov.txt
8415_269,2,0.109691,,,,,8415_269,S.8415.273.R1.match.sdr.cov.txt
8415_339,4,0.109792,,,,,8415_339,S.8415.343.R1.match.sdr.cov.txt
8412_389,3,0.109866,,,,,8412_389,S.8412.393.R1.match.sdr.cov.txt
8415_196,2,0.10989,,,,,8415_196,S.8415.2.R1.match.sdr.cov.txt
8415_183,1,0.110419,,,,,8415_183,S.8415.187.R1.match.sdr.cov.txt
8415_108,2,0.110467,,,,,8415_108,S.8415.112.R1.match.sdr.cov.txt
8415_364,0,0.110581,,,,,8415_364,S.8415.368.R1.match.sdr.cov.txt
8415_141,0,0.110677,,,,,8415_141,S.8415.145.R1.match.sdr.cov.txt
8412_423,1,0.111014,,,,,8412_423,S.8412.427.R1.match.sdr.cov.txt
8412_438,2,0.111259,,,,,8412_438,S.8412.442.R1.match.sdr.cov.txt
8415_115,1,0.111509,,,,,8415_115,S.8415.119.R1.match.sdr.cov.txt
8415_129,1,0.111991,,,,,8415_129,S.8415.133.R1.match.sdr.cov.txt
8415_053,1,0.11242,,,,,8415_053,S.8415.057.R1.match.sdr.cov.txt
8415_010,3,0.112541,,,,,8415_01,S.8415.014.R1.match.sdr.cov.txt
8415_074,0,0.112554,,,,,8415_074,S.8415.078.R1.match.sdr.cov.txt
8415_136,1,0.112712,,,,,8415_136,S.8415.14.R1.match.sdr.cov.txt
