Genotype,Sex,ChrY_cov,,,,,geno_match_temp,Isolate_covFileName
8415_320,2,0.13485,,,,,8415_32,S.8415.324.R1.match.sdr.cov.txt
8415_146,3,0.135025,,,,,8415_146,S.8415.15.R1.match.sdr.cov.txt
8415_321,0,0.135091,,,,,8415_321,S.8415.325.R1.match.sdr.cov.txt
8415_343,0,0.135366,,,,,8415_343,S.8415.347.R1.match.sdr.cov.txt
8415_063,1,0.135382,,,,,8415_063,S.8415.067.R1.match.sdr.cov.txt
8415_429,0,0.135891,,,,,8415_429,S.8415.433.R1.match.sdr.cov.txt
8415_420,2,0.136024,,,,,8415_42,S.8415.424.R1.match.sdr.cov.txt
8415_325,2,0.136317,,,,,8415_325,S.8415.329.R1.match.sdr.cov.txt
8412_457,4,0.136531,,,,,8412_457,S.8412.461.R1.match.sdr.cov.txt
8415_252,0,0.136741,,,,,8415_252,S.8415.256.R1.match.sdr.cov.txt
8412_420,2,0.136879,,,,,8412_42,S.8412.424.R1.match.sdr.cov.txt
8412_229,2,0.136991,,,,,8412_229,S.8412.229.R1.match.sdr.cov.txt
8415_090,2,0.137241,,,,,8415_09,S.8415.094.R1.match.sdr.cov.txt
8415_409,0,0.13728,,,,,8415_409,S.8415.413.R1.match.sdr.cov.txt
8412_456,2,0.137371,,,,,8412_456,S.8412.46.R1.match.sdr.cov.txt
8412_159,2,0.137445,,,,,8412_159,S.8412.159.R1.match.sdr.cov.txt
8232_04,0,0.137479,,,,,8232_04,S.8232.004.R1.match.sdr.cov.txt
8412_166,0,0.137565,,,,,8412_166,S.8412.166.R1.match.sdr.cov.txt
8412_303,4,0.13772,,,,,8412_303,S.8412.303.R1.match.sdr.cov.txt
8415_052,3,0.1379,,,,,8415_052,S.8415.056.R1.match.sdr.cov.txt
8415_255,1,0.137905,,,,,8415_255,S.8415.259.R1.match.sdr.cov.txt
8412_020,2,0.13791,,,,,8412_020,S.8412.02.R1.match.sdr.cov.txt
8415_280,0,0.137916,,,,,8415_28,S.8415.284.R1.match.sdr.cov.txt
8415_380,0,0.138006,,,,,8415_38,S.8415.384.R1.match.sdr.cov.txt
8412_458,0,0.138262,,,,,8412_458,S.8412.462.R1.match.sdr.cov.txt
8412_068,0,0.138535,,,,,8412_068,S.8412.068.R1.match.sdr.cov.txt
8415_015,2,0.138772,,,,,8415_015,S.8415.019.R1.match.sdr.cov.txt
8412_350,2,0.138862,,,,,8412_35,S.8412.354.R1.match.sdr.cov.txt
8412_349,3,0.13909,,,,,8412_349,S.8412.353.R1.match.sdr.cov.txt
8412_429,1,0.139254,,,,,8412_429,S.8412.433.R1.match.sdr.cov.txt
8412_125,4,0.139379,,,,,8412_125,S.8412.125.R1.match.sdr.cov.txt
8415_005,4,0.139586,,,,,8415_005,S.8415.009.R1.match.sdr.cov.txt
8412_415,2,0.139745,,,,,8412_415,S.8412.419.R1.match.sdr.cov.txt
8415_068,4,0.139905,,,,,8415_068,S.8415.072.R1.match.sdr.cov.txt
8412_463,0,0.139951,,,,,8412_463,S.8412.467.R1.match.sdr.cov.txt
8415_341,4,0.140347,,,,,8415_341,S.8415.345.R1.match.sdr.cov.txt
8412_452,0,0.140421,,,,,8412_452,S.8412.456.R1.match.sdr.cov.txt
8412_443,1,0.140714,,,,,8412_443,S.8412.447.R1.match.sdr.cov.txt
8415_135,0,0.140761,,,,,8415_135,S.8415.139.R1.match.sdr.cov.txt
8415_254,1,0.14078,,,,,8415_254,S.8415.258.R1.match.sdr.cov.txt
8415_197,1,0.140782,,,,,8415_197,S.8415.201.R1.match.sdr.cov.txt
8412_268,2,0.140814,,,,,8412_268,S.8412.268.R1.match.sdr.cov.txt
8412_474,2,0.14102,,,,,8412_474,S.8412.478.R1.match.sdr.cov.txt
8412_418,1,0.141047,,,,,8412_418,S.8412.422.R1.match.sdr.cov.txt
8412_187,0,0.141241,,,,,8412_187,S.8412.187.R1.match.sdr.cov.txt
8412_071,2,0.141434,,,,,8412_071,S.8412.071.R1.match.sdr.cov.txt
8415_020,2,0.141515,,,,,8415_02,S.8415.024.R1.match.sdr.cov.txt
8415_330,1,0.141677,,,,,8415_33,S.8415.334.R1.match.sdr.cov.txt
8412_126,0,0.141921,,,,,8412_126,S.8412.126.R1.match.sdr.cov.txt
8415_150,2,0.142145,,,,,8415_15,S.8415.154.R1.match.sdr.cov.txt
8412_045,0,0.142169,,,,,8412_045,S.8412.045.R1.match.sdr.cov.txt
8415_295,2,0.142187,,,,,8415_295,S.8415.299.R1.match.sdr.cov.txt
8415_060,4,0.142316,,,,,8415_06,S.8415.064.R1.match.sdr.cov.txt
8415_061,0,0.14246,,,,,8415_061,S.8415.065.R1.match.sdr.cov.txt
8412_151,0,0.142659,,,,,8412_151,S.8412.151.R1.match.sdr.cov.txt
8412_282,0,0.142912,,,,,8412_282,S.8412.282.R1.match.sdr.cov.txt
8415_043,1,0.143079,,,,,8415_043,S.8415.047.R1.match.sdr.cov.txt
8412_460,2,0.143177,,,,,8412_46,S.8412.464.R1.match.sdr.cov.txt
8415_260,0,0.143187,,,,,8415_26,S.8415.264.R1.match.sdr.cov.txt
8412_173,2,0.14374,,,,,8412_173,S.8412.173.R1.match.sdr.cov.txt
8415_265,0,0.143749,,,,,8415_265,S.8415.269.R1.match.sdr.cov.txt
8415_226,0,0.143807,,,,,8415_226,S.8415.23.R1.match.sdr.cov.txt
8415_104,1,0.143875,,,,,8415_104,S.8415.108.R1.match.sdr.cov.txt
8415_106,1,0.143885,,,,,8415_106,S.8415.11.R1.match.sdr.cov.txt
8415_154,2,0.144209,,,,,8415_154,S.8415.158.R1.match.sdr.cov.txt
8412_396,1,0.144219,,,,,8412_396,S.8412.4.R1.match.sdr.cov.txt
8415_112,0,0.144331,,,,,8415_112,S.8415.116.R1.match.sdr.cov.txt
8412_155,0,0.144397,,,,,8412_155,S.8412.155.R1.match.sdr.cov.txt
8412_486,0,0.14461,,,,,8412_486,S.8415.003.R1.match.sdr.cov.txt
8415_184,0,0.14466,,,,,8415_184,S.8415.188.R1.match.sdr.cov.txt
8415_155,4,0.144795,,,,,8415_155,S.8415.159.R1.match.sdr.cov.txt
8412_043,3,0.14494,,,,,8412_043,S.8412.043.R1.match.sdr.cov.txt
8415_012,1,0.145024,,,,,8415_012,S.8415.016.R1.match.sdr.cov.txt
8415_432,0,0.145179,,,,,8415_432,S.8415.436.R1.match.sdr.cov.txt
8412_343,0,0.145196,,,,,8412_343,S.8412.347.R1.match.sdr.cov.txt
8412_451,0,0.145379,,,,,8412_451,S.8412.455.R1.match.sdr.cov.txt
8415_228,0,0.145442,,,,,8415_228,S.8415.232.R1.match.sdr.cov.txt
8415_212,0,0.145766,,,,,8415_212,S.8415.216.R1.match.sdr.cov.txt
8412_326,1,0.14584,,,,,8412_326,S.8412.33.R1.match.sdr.cov.txt
8412_165,4,0.14603,,,,,8412_165,S.8412.165.R1.match.sdr.cov.txt
8412_432,1,0.146066,,,,,8412_432,S.8412.436.R1.match.sdr.cov.txt
8412_100,2,0.146074,,,,,8412_100,S.8412.1.R1.match.sdr.cov.txt
8412_413,0,0.146409,,,,,8412_413,S.8412.417.R1.match.sdr.cov.txt
8412_033,2,0.146467,,,,,8412_033,S.8412.033.R1.match.sdr.cov.txt
8415_152,0,0.146569,,,,,8415_152,S.8415.156.R1.match.sdr.cov.txt
8415_070,2,0.1466,,,,,8415_07,S.8415.074.R1.match.sdr.cov.txt
8412_384,1,0.146766,,,,,8412_384,S.8412.388.R1.match.sdr.cov.txt
8412_089,2,0.146891,,,,,8412_089,S.8412.089.R1.match.sdr.cov.txt
8412_253,2,0.14691,,,,,8412_253,S.8412.253.R1.match.sdr.cov.txt
8412_218,0,0.147329,,,,,8412_218,S.8412.218.R1.match.sdr.cov.txt
8415_323,0,0.147506,,,,,8415_323,S.8415.327.R1.match.sdr.cov.txt
8415_355,4,0.14753,,,,,8415_355,S.8415.359.R1.match.sdr.cov.txt
8412_169,0,0.147542,,,,,8412_169,S.8412.169.R1.match.sdr.cov.txt
8412_184,2,0.147641,,,,,8412_184,S.8412.184.R1.match.sdr.cov.txt
8412_301,2,0.147866,,,,,8412_301,S.8412.301.R1.match.sdr.cov.txt
8415_151,4,0.147951,,,,,8415_151,S.8415.155.R1.match.sdr.cov.txt
8412_441,3,0.14839,,,,,8412_441,S.8412.445.R1.match.sdr.cov.txt
8415_354,0,0.148437,,,,,8415_354,S.8415.358.R1.match.sdr.cov.txt
8415_199,0,0.148465,,,,,8415_199,S.8415.203.R1.match.sdr.cov.txt
8412_409,0,0.148752,,,,,8412_409,S.8412.413.R1.match.sdr.cov.txt
8415_358,0,0.148989,,,,,8415_358,S.8415.362.R1.match.sdr.cov.txt
8415_342,4,0.149025,,,,,8415_342,S.8415.346.R1.match.sdr.cov.txt
8412_265,2,0.149152,,,,,8412_265,S.8412.265.R1.match.sdr.cov.txt
8415_079,1,0.149154,,,,,8415_079,S.8415.083.R1.match.sdr.cov.txt
8415_198,0,0.149291,,,,,8415_198,S.8415.202.R1.match.sdr.cov.txt
8412_130,4,0.149559,,,,,8412_130,S.8412.13.R1.match.sdr.cov.txt
8412_055,4,0.149625,,,,,8412_055,S.8412.055.R1.match.sdr.cov.txt
8415_286,4,0.149661,,,,,8415_286,S.8415.29.R1.match.sdr.cov.txt
8415_045,3,0.14969,,,,,8415_045,S.8415.049.R1.match.sdr.cov.txt
8415_165,2,0.149716,,,,,8415_165,S.8415.169.R1.match.sdr.cov.txt
8415_256,0,0.149865,,,,,8415_256,S.8415.26.R1.match.sdr.cov.txt
8412_163,0,0.149881,,,,,8412_163,S.8412.163.R1.match.sdr.cov.txt
8412_083,2,0.149957,,,,,8412_083,S.8412.083.R1.match.sdr.cov.txt
8412_434,1,0.149966,,,,,8412_434,S.8412.438.R1.match.sdr.cov.txt
8412_444,2,0.149971,,,,,8412_444,S.8412.448.R1.match.sdr.cov.txt
8412_140,2,0.150356,,,,,8412_140,S.8412.14.R1.match.sdr.cov.txt
8415_211,0,0.150402,,,,,8415_211,S.8415.215.R1.match.sdr.cov.txt
8415_291,4,0.150577,,,,,8415_291,S.8415.295.R1.match.sdr.cov.txt
8415_192,0,0.150855,,,,,8415_192,S.8415.196.R1.match.sdr.cov.txt
8415_369,1,0.151136,,,,,8415_369,S.8415.373.R1.match.sdr.cov.txt
8412_400,1,0.151186,,,,,8412_4,S.8412.404.R1.match.sdr.cov.txt
8412_048,0,0.151272,,,,,8412_048,S.8412.048.R1.match.sdr.cov.txt
8412_359,2,0.151686,,,,,8412_359,S.8412.363.R1.match.sdr.cov.txt
8412_080,2,0.151836,,,,,8412_080,S.8412.08.R1.match.sdr.cov.txt
8412_258,2,0.151917,,,,,8412_258,S.8412.258.R1.match.sdr.cov.txt
8415_324,0,0.152074,,,,,8415_324,S.8415.328.R1.match.sdr.cov.txt
8412_032,2,0.152287,,,,,8412_032,S.8412.032.R1.match.sdr.cov.txt
8415_348,4,0.152389,,,,,8415_348,S.8415.352.R1.match.sdr.cov.txt
8415_116,0,0.152551,,,,,8415_116,S.8415.12.R1.match.sdr.cov.txt
8415_202,0,0.152577,,,,,8415_202,S.8415.206.R1.match.sdr.cov.txt
8412_291,1,0.152647,,,,,8412_291,S.8412.291.R1.match.sdr.cov.txt
8412_283,1,0.152664,,,,,8412_283,S.8412.283.R1.match.sdr.cov.txt
8412_327,0,0.152865,,,,,8412_327,S.8412.331.R1.match.sdr.cov.txt
8412_056,3,0.152942,,,,,8412_056,S.8412.056.R1.match.sdr.cov.txt
8412_018,4,0.153157,,,,,8412_018,S.8412.018.R1.match.sdr.cov.txt
8415_093,2,0.153164,,,,,8415_093,S.8415.097.R1.match.sdr.cov.txt
8412_123,0,0.153284,,,,,8412_123,S.8412.123.R1.match.sdr.cov.txt
8415_157,2,0.153502,,,,,8415_157,S.8415.161.R1.match.sdr.cov.txt
8415_027,0,0.153526,,,,,8415_027,S.8415.031.R1.match.sdr.cov.txt
8412_087,3,0.153907,,,,,8412_087,S.8412.087.R1.match.sdr.cov.txt
8415_405,3,0.15393,,,,,8415_405,S.8415.409.R1.match.sdr.cov.txt
8412_330,2,0.154397,,,,,8412_33,S.8412.334.R1.match.sdr.cov.txt
8412_177,1,0.154474,,,,,8412_177,S.8412.177.R1.match.sdr.cov.txt
8415_415,1,0.154625,,,,,8415_415,S.8415.419.R1.match.sdr.cov.txt
8412_440,2,0.154825,,,,,8412_44,S.8412.444.R1.match.sdr.cov.txt
8412_316,0,0.154872,,,,,8412_316,S.8412.32.R1.match.sdr.cov.txt
8412_132,2,0.154895,,,,,8412_132,S.8412.132.R1.match.sdr.cov.txt
8415_075,0,0.155435,,,,,8415_075,S.8415.079.R1.match.sdr.cov.txt
8412_049,3,0.15552,,,,,8412_049,S.8412.049.R1.match.sdr.cov.txt
8415_384,2,0.155645,,,,,8415_384,S.8415.388.R1.match.sdr.cov.txt
8415_234,0,0.15566,,,,,8415_234,S.8415.238.R1.match.sdr.cov.txt
8415_313,1,0.155734,,,,,8415_313,S.8415.317.R1.match.sdr.cov.txt
8412_304,0,0.155771,,,,,8412_304,S.8412.304.R1.match.sdr.cov.txt
8415_140,1,0.155905,,,,,8415_14,S.8415.144.R1.match.sdr.cov.txt
8415_030,0,0.15597,,,,,8415_03,S.8415.034.R1.match.sdr.cov.txt
8412_485,0,0.156027,,,,,8412_485,S.8415.002.R1.match.sdr.cov.txt
8415_292,2,0.156191,,,,,8415_292,S.8415.296.R1.match.sdr.cov.txt
8415_123,2,0.156235,,,,,8415_123,S.8415.127.R1.match.sdr.cov.txt
8412_424,0,0.156367,,,,,8412_424,S.8412.428.R1.match.sdr.cov.txt
8412_158,2,0.15637,,,,,8412_158,S.8412.158.R1.match.sdr.cov.txt
8412_367,0,0.156591,,,,,8412_367,S.8412.371.R1.match.sdr.cov.txt
8412_134,1,0.156605,,,,,8412_134,S.8412.134.R1.match.sdr.cov.txt
8415_300,2,0.156727,,,,,8415_3,S.8415.304.R1.match.sdr.cov.txt
8415_365,0,0.157592,,,,,8415_365,S.8415.369.R1.match.sdr.cov.txt
8412_401,3,0.158137,,,,,8412_401,S.8412.405.R1.match.sdr.cov.txt
8415_064,2,0.158299,,,,,8415_064,S.8415.068.R1.match.sdr.cov.txt
8412_381,3,0.158326,,,,,8412_381,S.8412.385.R1.match.sdr.cov.txt
8412_399,0,0.158506,,,,,8412_399,S.8412.403.R1.match.sdr.cov.txt
8412_127,4,0.158511,,,,,8412_127,S.8412.127.R1.match.sdr.cov.txt
3582_02,0,0.158631,,,,,3582_02,S.3582.002.R1.match.sdr.cov.txt
8415_121,2,0.15869,,,,,8415_121,S.8415.125.R1.match.sdr.cov.txt
8412_066,1,0.158706,,,,,8412_066,S.8412.066.R1.match.sdr.cov.txt
8415_278,1,0.158772,,,,,8415_278,S.8415.282.R1.match.sdr.cov.txt
8415_266,1,0.158802,,,,,8415_266,S.8415.27.R1.match.sdr.cov.txt
8415_086,2,0.158819,,,,,8415_086,S.8415.09.R1.match.sdr.cov.txt
8412_332,3,0.159005,,,,,8412_332,S.8412.336.R1.match.sdr.cov.txt
8412_422,3,0.159094,,,,,8412_422,S.8412.426.R1.match.sdr.cov.txt
8415_362,0,0.159371,,,,,8415_362,S.8415.366.R1.match.sdr.cov.txt
8415_340,1,0.159481,,,,,8415_34,S.8415.344.R1.match.sdr.cov.txt
8412_189,0,0.159614,,,,,8412_189,S.8412.189.R1.match.sdr.cov.txt
8415_066,0,0.159677,,,,,8415_066,S.8415.07.R1.match.sdr.cov.txt
8415_288,2,0.16013,,,,,8415_288,S.8415.292.R1.match.sdr.cov.txt
8415_105,2,0.160141,,,,,8415_105,S.8415.109.R1.match.sdr.cov.txt
8412_447,2,0.16018,,,,,8412_447,S.8412.451.R1.match.sdr.cov.txt
8412_442,0,0.160491,,,,,8412_442,S.8412.446.R1.match.sdr.cov.txt
8415_363,0,0.160534,,,,,8415_363,S.8415.367.R1.match.sdr.cov.txt
8412_403,2,0.160597,,,,,8412_403,S.8412.407.R1.match.sdr.cov.txt
8415_235,2,0.160717,,,,,8415_235,S.8415.239.R1.match.sdr.cov.txt
8415_229,2,0.160924,,,,,8415_229,S.8415.233.R1.match.sdr.cov.txt
8415_413,4,0.160932,,,,,8415_413,S.8415.417.R1.match.sdr.cov.txt
8415_126,2,0.161187,,,,,8415_126,S.8415.13.R1.match.sdr.cov.txt
8412_394,2,0.161265,,,,,8412_394,S.8412.398.R1.match.sdr.cov.txt
8415_329,0,0.16129,,,,,8415_329,S.8415.333.R1.match.sdr.cov.txt
8412_070,2,0.161395,,,,,8412_070,S.8412.07.R1.match.sdr.cov.txt
8412_022,1,0.161684,,,,,8412_022,S.8412.022.R1.match.sdr.cov.txt
8412_117,0,0.16192,,,,,8412_117,S.8412.117.R1.match.sdr.cov.txt
8412_237,1,0.161986,,,,,8412_237,S.8412.237.R1.match.sdr.cov.txt
8415_094,0,0.16199,,,,,8415_094,S.8415.098.R1.match.sdr.cov.txt
8412_183,0,0.162116,,,,,8412_183,S.8412.183.R1.match.sdr.cov.txt
8415_072,3,0.162357,,,,,8415_072,S.8415.076.R1.match.sdr.cov.txt
8415_238,1,0.1624,,,,,8415_238,S.8415.242.R1.match.sdr.cov.txt
8412_411,2,0.162506,,,,,8412_411,S.8412.415.R1.match.sdr.cov.txt
8415_022,2,0.162556,,,,,8415_022,S.8415.026.R1.match.sdr.cov.txt
8415_443,0,0.162572,,,,,8415_443,S.8415.447.R1.match.sdr.cov.txt
8412_430,0,0.16259,,,,,8412_43,S.8412.434.R1.match.sdr.cov.txt
8415_207,1,0.162644,,,,,8415_207,S.8415.211.R1.match.sdr.cov.txt
8415_057,0,0.162664,,,,,8415_057,S.8415.061.R1.match.sdr.cov.txt
8412_353,2,0.16315,,,,,8412_353,S.8412.357.R1.match.sdr.cov.txt
8415_099,2,0.163452,,,,,8415_099,S.8415.103.R1.match.sdr.cov.txt
8415_403,3,0.16384,,,,,8415_403,S.8415.407.R1.match.sdr.cov.txt
8415_422,2,0.163924,,,,,8415_422,S.8415.426.R1.match.sdr.cov.txt
8412_482,0,0.163962,,,,,8412_482,S.8412.486.R1.match.sdr.cov.txt
8415_360,1,0.164152,,,,,8415_36,S.8415.364.R1.match.sdr.cov.txt
8415_209,2,0.164182,,,,,8415_209,S.8415.213.R1.match.sdr.cov.txt
8415_361,3,0.164209,,,,,8415_361,S.8415.365.R1.match.sdr.cov.txt
8412_433,3,0.16436,,,,,8412_433,S.8412.437.R1.match.sdr.cov.txt
8415_262,0,0.164375,,,,,8415_262,S.8415.266.R1.match.sdr.cov.txt
8412_319,0,0.16448,,,,,8412_319,S.8412.323.R1.match.sdr.cov.txt
8415_319,0,0.164581,,,,,8415_319,S.8415.323.R1.match.sdr.cov.txt
8412_041,0,0.164682,,,,,8412_041,S.8412.041.R1.match.sdr.cov.txt
8415_272,3,0.164776,,,,,8415_272,S.8415.276.R1.match.sdr.cov.txt
8412_352,0,0.164909,,,,,8412_352,S.8412.356.R1.match.sdr.cov.txt
8415_232,0,0.16537,,,,,8415_232,S.8415.236.R1.match.sdr.cov.txt
8412_333,1,0.165426,,,,,8412_333,S.8412.337.R1.match.sdr.cov.txt
8412_340,2,0.165465,,,,,8412_34,S.8412.344.R1.match.sdr.cov.txt
8415_159,2,0.16551,,,,,8415_159,S.8415.163.R1.match.sdr.cov.txt
8412_277,2,0.165544,,,,,8412_277,S.8412.277.R1.match.sdr.cov.txt
8415_048,4,0.165735,,,,,8415_048,S.8415.052.R1.match.sdr.cov.txt
8412_345,1,0.165774,,,,,8412_345,S.8412.349.R1.match.sdr.cov.txt
8412_393,2,0.166081,,,,,8412_393,S.8412.397.R1.match.sdr.cov.txt
8415_297,4,0.166341,,,,,8415_297,S.8415.301.R1.match.sdr.cov.txt
8415_217,1,0.166365,,,,,8415_217,S.8415.221.R1.match.sdr.cov.txt
8412_466,4,0.166414,,,,,8412_466,S.8412.47.R1.match.sdr.cov.txt
8412_213,1,0.166512,,,,,8412_213,S.8412.213.R1.match.sdr.cov.txt
8415_418,1,0.16662,,,,,8415_418,S.8415.422.R1.match.sdr.cov.txt
8412_220,1,0.166671,,,,,8412_220,S.8412.22.R1.match.sdr.cov.txt
8412_062,0,0.167116,,,,,8412_062,S.8412.062.R1.match.sdr.cov.txt
8415_163,0,0.167224,,,,,8415_163,S.8415.167.R1.match.sdr.cov.txt
8415_205,0,0.167237,,,,,8415_205,S.8415.209.R1.match.sdr.cov.txt
8415_148,0,0.167294,,,,,8415_148,S.8415.152.R1.match.sdr.cov.txt
8412_480,1,0.167412,,,,,8412_48,S.8412.484.R1.match.sdr.cov.txt
8412_180,0,0.167455,,,,,8412_180,S.8412.18.R1.match.sdr.cov.txt
8412_324,3,0.167592,,,,,8412_324,S.8412.328.R1.match.sdr.cov.txt
8415_351,1,0.1677,,,,,8415_351,S.8415.355.R1.match.sdr.cov.txt
8415_357,2,0.167874,,,,,8415_357,S.8415.361.R1.match.sdr.cov.txt
8415_441,1,0.168355,,,,,8415_441,S.8415.445.R1.match.sdr.cov.txt
8415_231,0,0.168526,,,,,8415_231,S.8415.235.R1.match.sdr.cov.txt
8415_026,0,0.168785,,,,,8415_026,S.8415.03.R1.match.sdr.cov.txt
8412_091,2,0.168795,,,,,8412_091,S.8412.091.R1.match.sdr.cov.txt
8412_182,2,0.168845,,,,,8412_182,S.8412.182.R1.match.sdr.cov.txt
8415_134,0,0.168935,,,,,8415_134,S.8415.138.R1.match.sdr.cov.txt
8415_078,1,0.169105,,,,,8415_078,S.8415.082.R1.match.sdr.cov.txt
8412_061,4,0.169144,,,,,8412_061,S.8412.061.R1.match.sdr.cov.txt
8415_445,0,0.169266,,,,,8415_445,S.8415.449.R1.match.sdr.cov.txt
8415_391,1,0.169615,,,,,8415_391,S.8415.395.R1.match.sdr.cov.txt
8415_059,0,0.169634,,,,,8415_059,S.8415.063.R1.match.sdr.cov.txt
8412_228,1,0.169671,,,,,8412_228,S.8412.228.R1.match.sdr.cov.txt
8412_331,2,0.169701,,,,,8412_331,S.8412.335.R1.match.sdr.cov.txt
8412_435,0,0.169839,,,,,8412_435,S.8412.439.R1.match.sdr.cov.txt
8415_246,0,0.170109,,,,,8415_246,S.8415.25.R1.match.sdr.cov.txt
8415_062,2,0.170284,,,,,8415_062,S.8415.066.R1.match.sdr.cov.txt
8415_399,2,0.170549,,,,,8415_399,S.8415.403.R1.match.sdr.cov.txt
8415_044,0,0.171004,,,,,8415_044,S.8415.048.R1.match.sdr.cov.txt
8412_147,0,0.171707,,,,,8412_147,S.8412.147.R1.match.sdr.cov.txt
8412_171,0,0.171812,,,,,8412_171,S.8412.171.R1.match.sdr.cov.txt
8412_261,1,0.171906,,,,,8412_261,S.8412.261.R1.match.sdr.cov.txt
8415_056,3,0.172274,,,,,8415_056,S.8415.06.R1.match.sdr.cov.txt
8412_453,1,0.172381,,,,,8412_453,S.8412.457.R1.match.sdr.cov.txt
8412_124,1,0.172397,,,,,8412_124,S.8412.124.R1.match.sdr.cov.txt
8412_233,0,0.172645,,,,,8412_233,S.8412.233.R1.match.sdr.cov.txt
8412_455,3,0.172726,,,,,8412_455,S.8412.459.R1.match.sdr.cov.txt
8412_314,-,0.17302,,,,,,S.8412.318.R1.match.sdr.cov.txt
8412_310,2,0.173042,,,,,8412_310,S.8412.31.R1.match.sdr.cov.txt
8412_361,2,0.173554,,,,,8412_361,S.8412.365.R1.match.sdr.cov.txt
8412_097,0,0.173595,,,,,8412_097,S.8412.097.R1.match.sdr.cov.txt
8412_232,0,0.173606,,,,,8412_232,S.8412.232.R1.match.sdr.cov.txt
8412_311,-,0.173612,,,,,,S.8412.315.R1.match.sdr.cov.txt
8415_201,3,0.173756,,,,,8415_201,S.8415.205.R1.match.sdr.cov.txt
8412_074,0,0.173894,,,,,8412_074,S.8412.074.R1.match.sdr.cov.txt
8415_221,2,0.174162,,,,,8415_221,S.8415.225.R1.match.sdr.cov.txt
8412_040,3,0.174284,,,,,8412_040,S.8412.04.R1.match.sdr.cov.txt
8415_327,2,0.174479,,,,,8415_327,S.8415.331.R1.match.sdr.cov.txt
8412_344,1,0.1745,,,,,8412_344,S.8412.348.R1.match.sdr.cov.txt
8412_047,0,0.174507,,,,,8412_047,S.8412.047.R1.match.sdr.cov.txt
8412_204,0,0.174554,,,,,8412_204,S.8412.204.R1.match.sdr.cov.txt
8415_242,1,0.174972,,,,,8415_242,S.8415.246.R1.match.sdr.cov.txt
8412_269,0,0.175004,,,,,8412_269,S.8412.269.R1.match.sdr.cov.txt
8412_231,4,0.175161,,,,,8412_231,S.8412.231.R1.match.sdr.cov.txt
8412_346,2,0.175469,,,,,8412_346,S.8412.35.R1.match.sdr.cov.txt
8415_388,1,0.175471,,,,,8415_388,S.8415.392.R1.match.sdr.cov.txt
8415_382,3,0.175512,,,,,8415_382,S.8415.386.R1.match.sdr.cov.txt
8415_144,2,0.175675,,,,,8415_144,S.8415.148.R1.match.sdr.cov.txt
8415_259,0,0.175851,,,,,8415_259,S.8415.263.R1.match.sdr.cov.txt
8216_01,0,0.175919,,,,,8216_01,S.8216.001.R1.match.sdr.cov.txt
8412_202,0,0.175969,,,,,8412_202,S.8412.202.R1.match.sdr.cov.txt
8415_293,0,0.176007,,,,,8415_293,S.8415.297.R1.match.sdr.cov.txt
8412_348,2,0.176239,,,,,8412_348,S.8412.352.R1.match.sdr.cov.txt
8415_084,2,0.176444,,,,,8415_084,S.8415.088.R1.match.sdr.cov.txt
8412_211,2,0.176564,,,,,8412_211,S.8412.211.R1.match.sdr.cov.txt
8415_440,2,0.17669,,,,,8415_44,S.8415.444.R1.match.sdr.cov.txt
8412_224,1,0.176959,,,,,8412_224,S.8412.224.R1.match.sdr.cov.txt
8412_005,0,0.177194,,,,,8412_005,S.8412.005.R1.match.sdr.cov.txt
8415_067,2,0.177334,,,,,8415_067,S.8415.071.R1.match.sdr.cov.txt
8412_150,0,0.177385,,,,,8412_150,S.8412.15.R1.match.sdr.cov.txt
8412_357,2,0.177799,,,,,8412_357,S.8412.361.R1.match.sdr.cov.txt
8415_352,0,0.177879,,,,,8415_352,S.8415.356.R1.match.sdr.cov.txt
8412_058,1,0.178144,,,,,8412_058,S.8412.058.R1.match.sdr.cov.txt
8412_347,2,0.178412,,,,,8412_347,S.8412.351.R1.match.sdr.cov.txt
8415_444,4,0.178442,,,,,8415_444,S.8415.448.R1.match.sdr.cov.txt
8412_376,0,0.178449,,,,,8412_376,S.8412.38.R1.match.sdr.cov.txt
8412_222,2,0.178675,,,,,8412_222,S.8412.222.R1.match.sdr.cov.txt
8412_148,0,0.179196,,,,,8412_148,S.8412.148.R1.match.sdr.cov.txt
8415_261,0,0.17923,,,,,8415_261,S.8415.265.R1.match.sdr.cov.txt
8415_091,2,0.179477,,,,,8415_091,S.8415.095.R1.match.sdr.cov.txt
8412_372,2,0.179672,,,,,8412_372,S.8412.376.R1.match.sdr.cov.txt
8415_306,0,0.179822,,,,,8415_306,S.8415.31.R1.match.sdr.cov.txt
8415_279,2,0.180505,,,,,8415_279,S.8415.283.R1.match.sdr.cov.txt
8412_195,1,0.18091,,,,,8412_195,S.8412.195.R1.match.sdr.cov.txt
8415_431,1,0.181056,,,,,8415_431,S.8415.435.R1.match.sdr.cov.txt
8412_102,3,0.181174,,,,,8412_102,S.8412.102.R1.match.sdr.cov.txt
8412_404,1,0.181947,,,,,8412_404,S.8412.408.R1.match.sdr.cov.txt
8412_238,3,0.182187,,,,,8412_238,S.8412.238.R1.match.sdr.cov.txt
8412_002,1,0.182241,,,,,8412_002,S.8412.002.R1.match.sdr.cov.txt
8412_368,1,0.182385,,,,,8412_368,S.8412.372.R1.match.sdr.cov.txt
